date,away_team,away_pt,home_team,home_pt,away_open_sp,away_open_line,away_fduel_sp,away_fduel_line,away_bmgm_sp,away_bmgm_line,away_czr_sp,away_czr_line,away_dking_sp,away_dking_line,away_rivers_sp,away_rivers_line,away_vinsider_sp,away_vinsider_line,home_open_sp,home_open_line,home_fduel_sp,home_fduel_line,home_bmgm_sp,home_bmgm_line,home_czr_sp,home_czr_line,home_dking_sp,home_dking_line,home_rivers_sp,home_rivers_line,home_vinsider_sp,home_vinsider_line
Mon Jan 23 2023,San Antonio Spurs,127,Portland Trail Blazers,147,o241.5,-110,o240.5,-110,o240.5,-110,o240.5,-110,o240.5,-110,o240.5,-110,o240.5,-110,u241.5,-110,u240.5,-110,u240.5,-110,u240.5,-110,u240.5,-110,u240.5,-110,u240.5,-110
Mon Jan 23 2023,Memphis Grizzlies,100,Sacramento Kings,133,o244.5,-110,o245,-110,o244.5,-110,o244.5,-110,o244.5,-110,o245,-108,o245,-110,u244.5,-110,u245,-110,u244.5,-110,u244.5,-110,u244.5,-110,u245,-113,u245,-110
Tue Jan 24 2023,Chicago Bulls,110,Indiana Pacers,116,N/A,o234.5,-110,o234.5,-110,o234.5,-110,o234.5,-110,o234.5,-110,N/A,u234.5,-110,u234.5,-110,u234.5,-110,u234.5,-110,u234.5,-110,,,,,,
Tue Jan 24 2023,Boston Celtics,95,Miami Heat,98,N/A,o214.5,-110,o214.5,-110,o214.5,-110,o214.5,-110,o214.5,-110,N/A,u214.5,-110,u214.5,-110,u214.5,-110,u214.5,-110,u214.5,-110,,,,,,
Tue Jan 24 2023,Cleveland Cavaliers,103,New York Knicks,105,N/A,o220,-110,o220.5,-110,o220,-110,o220,-110,o220,-110,N/A,u220,-110,u220.5,-110,u220,-110,u220,-110,u220,-110,,,,,,
Tue Jan 24 2023,Denver Nuggets,99,New Orleans Pelicans,98,N/A,o233,-110,o232.5,-110,o233,-110,o232.5,-110,o233,-110,N/A,u233,-110,u232.5,-110,u233,-110,u232.5,-110,u233,-110,,,,,,
Tue Jan 24 2023,Washington Wizards,127,Dallas Mavericks,126,N/A,o224,-110,o224.5,-110,o223.5,-110,o224,-110,o224,-110,N/A,u224,-110,u224.5,-110,u223.5,-110,u224,-110,u224,-110,,,,,,
Tue Jan 24 2023,Charlotte Hornets,97,Phoenix Suns,128,N/A,o223,-110,o223.5,-110,o222.5,-110,o224,-110,o223,-110,N/A,u223,-110,u223.5,-110,u222.5,-110,u224,-110,u223,-110,,,,,,
Tue Jan 24 2023,Los Angeles Clippers,133,Los Angeles Lakers,115,N/A,o231,-108,o231.5,-110,o231.5,-110,o231.5,-110,o231,-108,N/A,u231,-112,u231.5,-110,u231.5,-110,u231.5,-110,u231,-112,,,,,,
Wed Jan 25 2023,Indiana Pacers,120,Orlando Magic,126,N/A,o234.5,-110,o234.5,-110,o234.5,-110,o234.5,-110,o234.5,-110,N/A,u234.5,-110,u234.5,-110,u234.5,-110,u234.5,-110,u234.5,-110,,,,,,
