date,away_team,away_pt,home_team,home_pt,away_line,home_line
Tue Oct 27 2015,Cleveland Cavaliers,95,Chicago Bulls,97,+150,-171
Tue Oct 27 2015,Detroit Pistons,106,Atlanta Hawks,94,+257,-312
Tue Oct 27 2015,New Orleans Pelicans,95,Golden State Warriors,111,+493,-679
Wed Oct 28 2015,Washington Wizards,88,Orlando Magic,87,-182,+161
Wed Oct 28 2015,Philadelphia 76ers,95,Boston Celtics,112,+734,-1149
Wed Oct 28 2015,Chicago Bulls,115,Brooklyn Nets,100,-210,+176
Wed Oct 28 2015,Utah Jazz,87,Detroit Pistons,92,-113,+100
Wed Oct 28 2015,Indiana Pacers,99,Toronto Raptors,106,+190,-227
Wed Oct 28 2015,Charlotte Hornets,94,Miami Heat,104,+206,-248
Wed Oct 28 2015,New York Knicks,122,Milwaukee Bucks,97,+181,-216
Wed Oct 28 2015,San Antonio Spurs,106,Oklahoma City Thunder,112,+162,-187
Wed Oct 28 2015,Cleveland Cavaliers,106,Memphis Grizzlies,76,+190,-228
Wed Oct 28 2015,Denver Nuggets,105,Houston Rockets,85,+507,-696
Wed Oct 28 2015,Dallas Mavericks,111,Phoenix Suns,95,+211,-255
Wed Oct 28 2015,New Orleans Pelicans,94,Portland Trail Blazers,112,+112,-131
Wed Oct 28 2015,Los Angeles Clippers,111,Sacramento Kings,104,-243,+202
Wed Oct 28 2015,Minnesota Timberwolves,112,Los Angeles Lakers,111,+127,-148
Thu Oct 29 2015,Memphis Grizzlies,112,Indiana Pacers,103,-150,+129
Thu Oct 29 2015,Atlanta Hawks,112,New York Knicks,101,-183,+159
Thu Oct 29 2015,Dallas Mavericks,88,Los Angeles Clippers,104,+609,-877
Fri Oct 30 2015,Miami Heat,92,Cleveland Cavaliers,102,+177,-208
Fri Oct 30 2015,Utah Jazz,99,Philadelphia 76ers,71,-313,+260
Fri Oct 30 2015,Oklahoma City Thunder,139,Orlando Magic,136,-373,+306
Fri Oct 30 2015,Toronto Raptors,113,Boston Celtics,103,+109,-128
Fri Oct 30 2015,Chicago Bulls,94,Detroit Pistons,98,-147,+127
Fri Oct 30 2015,Charlotte Hornets,94,Atlanta Hawks,97,+156,-177
Fri Oct 30 2015,Washington Wizards,118,Milwaukee Bucks,113,-133,+114
Fri Oct 30 2015,Brooklyn Nets,75,San Antonio Spurs,102,+1013,-1623
Fri Oct 30 2015,Minnesota Timberwolves,95,Denver Nuggets,78,+148,-169
Fri Oct 30 2015,Golden State Warriors,112,Houston Rockets,92,-116,-111
Fri Oct 30 2015,Los Angeles Lakers,114,Sacramento Kings,132,+248,-297
Fri Oct 30 2015,Portland Trail Blazers,92,Phoenix Suns,110,+160,-184
Sat Oct 31 2015,Utah Jazz,97,Indiana Pacers,76,+147,-167
Sat Oct 31 2015,New York Knicks,117,Washington Wizards,110,+262,-320
Sat Oct 31 2015,Golden State Warriors,134,New Orleans Pelicans,120,-237,+199
Sat Oct 31 2015,Brooklyn Nets,91,Memphis Grizzlies,101,+693,-981
Sat Oct 31 2015,Phoenix Suns,101,Portland Trail Blazers,90,+109,-128
Sat Oct 31 2015,Sacramento Kings,109,Los Angeles Clippers,114,+453,-583
Sun Nov 1 2015,Atlanta Hawks,94,Charlotte Hornets,92,-136,+117
Sun Nov 1 2015,San Antonio Spurs,95,Boston Celtics,87,-251,+212
Sun Nov 1 2015,Houston Rockets,89,Miami Heat,109,+155,-178
Sun Nov 1 2015,Milwaukee Bucks,87,Toronto Raptors,106,+201,-239
Sun Nov 1 2015,Orlando Magic,87,Chicago Bulls,92,+295,-355
Sun Nov 1 2015,Denver Nuggets,93,Oklahoma City Thunder,117,+822,-1239
Sun Nov 1 2015,Dallas Mavericks,103,Los Angeles Lakers,93,-176,+156
Mon Nov 2 2015,Cleveland Cavaliers,107,Philadelphia 76ers,100,-1488,+899
Mon Nov 2 2015,Milwaukee Bucks,103,Brooklyn Nets,96,-121,+102
Mon Nov 2 2015,San Antonio Spurs,94,New York Knicks,84,-325,+265
Mon Nov 2 2015,Oklahoma City Thunder,105,Houston Rockets,110,-185,+161
Mon Nov 2 2015,Portland Trail Blazers,106,Minnesota Timberwolves,101,+155,-176
Mon Nov 2 2015,Memphis Grizzlies,69,Golden State Warriors,119,+380,-482
Mon Nov 2 2015,Phoenix Suns,96,Los Angeles Clippers,102,+355,-443
Tue Nov 3 2015,Chicago Bulls,105,Charlotte Hornets,130,-179,+157
Tue Nov 3 2015,Indiana Pacers,94,Detroit Pistons,82,+172,-200
Tue Nov 3 2015,Atlanta Hawks,98,Miami Heat,92,+159,-182
Tue Nov 3 2015,Orlando Magic,103,New Orleans Pelicans,94,+185,-223
Tue Nov 3 2015,Toronto Raptors,102,Dallas Mavericks,91,-134,+114
Tue Nov 3 2015,Memphis Grizzlies,103,Sacramento Kings,89,-181,+160
Tue Nov 3 2015,Denver Nuggets,120,Los Angeles Lakers,109,+126,-146
Wed Nov 4 2015,Boston Celtics,98,Indiana Pacers,100,-135,+114
Wed Nov 4 2015,San Antonio Spurs,99,Washington Wizards,102,-177,+155
Wed Nov 4 2015,Brooklyn Nets,87,Atlanta Hawks,101,+267,-323
Wed Nov 4 2015,New York Knicks,86,Cleveland Cavaliers,96,+527,-705
Wed Nov 4 2015,Orlando Magic,114,Houston Rockets,119,+362,-454
Wed Nov 4 2015,Philadelphia 76ers,87,Milwaukee Bucks,91,+330,-410
Wed Nov 4 2015,Toronto Raptors,103,Oklahoma City Thunder,98,+315,-389
Wed Nov 4 2015,Sacramento Kings,97,Phoenix Suns,118,+389,-490
Wed Nov 4 2015,Portland Trail Blazers,108,Utah Jazz,92,+248,-299
Wed Nov 4 2015,Los Angeles Clippers,108,Golden State Warriors,112,+271,-332
Thu Nov 5 2015,Oklahoma City Thunder,98,Chicago Bulls,104,-105,-116
Thu Nov 5 2015,Miami Heat,96,Minnesota Timberwolves,84,-178,+156
Thu Nov 5 2015,Charlotte Hornets,108,Dallas Mavericks,94,+154,-176
Thu Nov 5 2015,Utah Jazz,96,Denver Nuggets,84,-151,+130
Thu Nov 5 2015,Memphis Grizzlies,96,Portland Trail Blazers,115,-185,+162
Fri Nov 6 2015,Toronto Raptors,87,Orlando Magic,92,-245,+204
Fri Nov 6 2015,Washington Wizards,98,Boston Celtics,118,+102,-121
Fri Nov 6 2015,Los Angeles Lakers,104,Brooklyn Nets,98,+136,-165
Fri Nov 6 2015,Philadelphia 76ers,102,Cleveland Cavaliers,108,+1035,-1736
Fri Nov 6 2015,Milwaukee Bucks,99,New York Knicks,92,+107,-127
Fri Nov 6 2015,Miami Heat,87,Indiana Pacers,90,-116,-104
Fri Nov 6 2015,Atlanta Hawks,121,New Orleans Pelicans,115,-142,+122
Fri Nov 6 2015,Detroit Pistons,100,Phoenix Suns,92,+161,-184
Fri Nov 6 2015,Denver Nuggets,104,Golden State Warriors,119,+1901,-5749
Fri Nov 6 2015,Houston Rockets,116,Sacramento Kings,110,-193,+166
Sat Nov 7 2015,Minnesota Timberwolves,102,Chicago Bulls,93,+380,-479
Sat Nov 7 2015,Orlando Magic,105,Philadelphia 76ers,97,-153,+132
Sat Nov 7 2015,Washington Wizards,99,Atlanta Hawks,114,+174,-205
Sat Nov 7 2015,New Orleans Pelicans,98,Dallas Mavericks,107,+180,-215
Sat Nov 7 2015,Brooklyn Nets,86,Milwaukee Bucks,94,+228,-272
Sat Nov 7 2015,Charlotte Hornets,94,San Antonio Spurs,114,+407,-524
Sat Nov 7 2015,Memphis Grizzlies,79,Utah Jazz,89,+123,-142
Sat Nov 7 2015,Golden State Warriors,103,Sacramento Kings,94,-1637,+1006
Sat Nov 7 2015,Houston Rockets,109,Los Angeles Clippers,105,+199,-234
Sun Nov 8 2015,Indiana Pacers,97,Cleveland Cavaliers,101,+301,-371
Sun Nov 8 2015,Los Angeles Lakers,95,New York Knicks,99,+196,-233
Sun Nov 8 2015,Toronto Raptors,76,Miami Heat,96,+127,-147
Sun Nov 8 2015,Phoenix Suns,103,Oklahoma City Thunder,124,+337,-419
Sun Nov 8 2015,Detroit Pistons,120,Portland Trail Blazers,103,+108,-127
Mon Nov 9 2015,Orlando Magic,84,Indiana Pacers,97,+161,-184
Mon Nov 9 2015,Chicago Bulls,111,Philadelphia 76ers,88,-635,+472
Mon Nov 9 2015,Minnesota Timberwolves,117,Atlanta Hawks,107,+335,-412
Mon Nov 9 2015,Portland Trail Blazers,104,Denver Nuggets,108,-120,+100
Mon Nov 9 2015,San Antonio Spurs,106,Sacramento Kings,88,-340,+280
Mon Nov 9 2015,Detroit Pistons,95,Golden State Warriors,109,+772,-1194
Mon Nov 9 2015,Memphis Grizzlies,92,Los Angeles Clippers,94,+253,-309
Tue Nov 10 2015,Utah Jazz,114,Cleveland Cavaliers,118,+200,-239
Tue Nov 10 2015,Oklahoma City Thunder,125,Washington Wizards,101,-277,+229
Tue Nov 10 2015,Los Angeles Lakers,88,Miami Heat,101,+580,-811
Tue Nov 10 2015,New York Knicks,111,Toronto Raptors,109,+268,-331
Tue Nov 10 2015,Boston Celtics,99,Milwaukee Bucks,83,-134,+114
Tue Nov 10 2015,Charlotte Hornets,104,Minnesota Timberwolves,95,-168,+148
Tue Nov 10 2015,Dallas Mavericks,105,New Orleans Pelicans,120,+123,-142
Wed Nov 11 2015,New York Knicks,93,Charlotte Hornets,95,+215,-258
Wed Nov 11 2015,Los Angeles Lakers,99,Orlando Magic,101,+299,-368
Wed Nov 11 2015,Toronto Raptors,119,Philadelphia 76ers,103,-504,+395
Wed Nov 11 2015,Indiana Pacers,102,Boston Celtics,91,+142,-163
Wed Nov 11 2015,New Orleans Pelicans,98,Atlanta Hawks,106,+835,-1312
Wed Nov 11 2015,Los Angeles Clippers,108,Dallas Mavericks,118,-292,+241
Wed Nov 11 2015,Brooklyn Nets,106,Houston Rockets,98,+637,-901
Wed Nov 11 2015,Golden State Warriors,100,Memphis Grizzlies,84,-322,+263
Wed Nov 11 2015,Milwaukee Bucks,102,Denver Nuggets,103,+150,-171
Wed Nov 11 2015,Detroit Pistons,92,Sacramento Kings,101,-133,+112
Wed Nov 11 2015,San Antonio Spurs,113,Portland Trail Blazers,101,-253,+214
Thu Nov 12 2015,Utah Jazz,91,Miami Heat,92,+148,-169
Thu Nov 12 2015,Golden State Warriors,129,Minnesota Timberwolves,116,-602,+451
Thu Nov 12 2015,Los Angeles Clippers,104,Phoenix Suns,118,+115,-135
Fri Nov 13 2015,Minnesota Timberwolves,103,Indiana Pacers,107,+261,-319
Fri Nov 13 2015,Utah Jazz,93,Orlando Magic,102,-130,-102
Fri Nov 13 2015,Atlanta Hawks,93,Boston Celtics,106,-121,+102
Fri Nov 13 2015,Cleveland Cavaliers,90,New York Knicks,84,-290,+242
Fri Nov 13 2015,New Orleans Pelicans,81,Toronto Raptors,100,+440,-570
Fri Nov 13 2015,Charlotte Hornets,97,Chicago Bulls,102,+229,-271
