Fri Oct 28 2022,7:00p,Atlanta Hawks,136,Detroit Pistons,112
Fri Oct 28 2022,7:00p,Charlotte Hornets,93,Orlando Magic,113
Fri Oct 28 2022,7:30p,Cleveland Cavaliers,132,Boston Celtics,123
Fri Oct 28 2022,7:30p,Philadelphia 76ers,112,Toronto Raptors,90
Fri Oct 28 2022,7:30p,Indiana Pacers,127,Washington Wizards,117
Fri Oct 28 2022,8:00p,New York Knicks,108,Milwaukee Bucks,119
Fri Oct 28 2022,8:00p,Los Angeles Lakers,102,Minnesota Timberwolves,111
Fri Oct 28 2022,8:30p,Chicago Bulls,124,San Antonio Spurs,129
Fri Oct 28 2022,9:00p,Utah Jazz,101,Denver Nuggets,117
Fri Oct 28 2022,10:00p,New Orleans Pelicans,111,Phoenix Suns,124
Fri Oct 28 2022,10:00p,Houston Rockets,111,Portland Trail Blazers,125
Sat Oct 29 2022,6:00p,Miami Heat,113,Sacramento Kings,119
Sat Oct 29 2022,7:00p,Golden State Warriors,113,Charlotte Hornets,120
Sat Oct 29 2022,7:30p,Indiana Pacers,125,Brooklyn Nets,116
Sat Oct 29 2022,8:00p,Philadelphia 76ers,114,Chicago Bulls,109
Sat Oct 29 2022,8:00p,Atlanta Hawks,115,Milwaukee Bucks,123
Sat Oct 29 2022,9:00p,Oklahoma City Thunder,117,Dallas Mavericks,111
Sat Oct 29 2022,9:00p,Memphis Grizzlies,123,Utah Jazz,124
Sun Oct 30 2022,3:00p,New Orleans Pelicans,112,Los Angeles Clippers,91
Sun Oct 30 2022,6:00p,Washington Wizards,94,Boston Celtics,112
Sun Oct 30 2022,6:00p,New York Knicks,108,Cleveland Cavaliers,121
Sun Oct 30 2022,6:00p,Golden State Warriors,114,Detroit Pistons,128
Sun Oct 30 2022,7:00p,Minnesota Timberwolves,98,San Antonio Spurs,107
Sun Oct 30 2022,7:30p,Orlando Magic,105,Dallas Mavericks,114
Sun Oct 30 2022,9:00p,Houston Rockets,109,Phoenix Suns,124
Sun Oct 30 2022,9:30p,Denver Nuggets,110,Los Angeles Lakers,121
Mon Oct 31 2022,7:00p,Sacramento Kings,115,Charlotte Hornets,108
Mon Oct 31 2022,7:00p,Philadelphia 76ers,118,Washington Wizards,111
Mon Oct 31 2022,7:30p,Indiana Pacers,109,Brooklyn Nets,116
Mon Oct 31 2022,7:30p,Atlanta Hawks,109,Toronto Raptors,139
Mon Oct 31 2022,8:00p,Detroit Pistons,108,Milwaukee Bucks,110
Mon Oct 31 2022,9:00p,Memphis Grizzlies,105,Utah Jazz,121
Mon Oct 31 2022,10:30p,Houston Rockets,93,Los Angeles Clippers,95
Tue Nov 1 2022,7:30p,Chicago Bulls,108,Brooklyn Nets,99
