Tue Oct 25 2016,New York Knicks,88,Cleveland Cavaliers,117
Tue Oct 25 2016,Utah Jazz,104,Portland Trail Blazers,113
Tue Oct 25 2016,San Antonio Spurs,129,Golden State Warriors,100
Wed Oct 26 2016,Dallas Mavericks,121,Indiana Pacers,130
Wed Oct 26 2016,Miami Heat,108,Orlando Magic,96
Wed Oct 26 2016,Detroit Pistons,91,Toronto Raptors,109
Wed Oct 26 2016,Brooklyn Nets,117,Boston Celtics,122
Wed Oct 26 2016,Charlotte Hornets,107,Milwaukee Bucks,96
Wed Oct 26 2016,Denver Nuggets,107,New Orleans Pelicans,102
Wed Oct 26 2016,Minnesota Timberwolves,98,Memphis Grizzlies,102
Wed Oct 26 2016,Oklahoma City Thunder,103,Philadelphia 76ers,97
Wed Oct 26 2016,Sacramento Kings,113,Phoenix Suns,94
Wed Oct 26 2016,Houston Rockets,114,Los Angeles Lakers,120
Thu Oct 27 2016,Washington Wizards,99,Atlanta Hawks,114
Thu Oct 27 2016,Boston Celtics,99,Chicago Bulls,105
Thu Oct 27 2016,Los Angeles Clippers,114,Portland Trail Blazers,106
Thu Oct 27 2016,San Antonio Spurs,102,Sacramento Kings,94
Fri Oct 28 2016,Cleveland Cavaliers,94,Toronto Raptors,91
Fri Oct 28 2016,Indiana Pacers,94,Brooklyn Nets,103
Fri Oct 28 2016,Orlando Magic,82,Detroit Pistons,108
Fri Oct 28 2016,Phoenix Suns,110,Oklahoma City Thunder,113
Fri Oct 28 2016,Charlotte Hornets,97,Miami Heat,91
Fri Oct 28 2016,Houston Rockets,106,Dallas Mavericks,98
Fri Oct 28 2016,Los Angeles Lakers,89,Utah Jazz,96
Fri Oct 28 2016,Golden State Warriors,122,New Orleans Pelicans,114
Sat Oct 29 2016,Atlanta Hawks,104,Philadelphia 76ers,72
Sat Oct 29 2016,Boston Celtics,104,Charlotte Hornets,98
Sat Oct 29 2016,Orlando Magic,99,Cleveland Cavaliers,105
Sat Oct 29 2016,Memphis Grizzlies,104,New York Knicks,111
Sat Oct 29 2016,New Orleans Pelicans,79,San Antonio Spurs,98
Sat Oct 29 2016,Brooklyn Nets,108,Milwaukee Bucks,110
Sat Oct 29 2016,Indiana Pacers,101,Chicago Bulls,118
Sat Oct 29 2016,Portland Trail Blazers,115,Denver Nuggets,113
Sat Oct 29 2016,Minnesota Timberwolves,103,Sacramento Kings,106
Sun Oct 30 2016,Utah Jazz,75,Los Angeles Clippers,88
Sun Oct 30 2016,Milwaukee Bucks,83,Detroit Pistons,98
Sun Oct 30 2016,San Antonio Spurs,106,Miami Heat,99
Sun Oct 30 2016,Golden State Warriors,106,Phoenix Suns,100
Sun Oct 30 2016,Los Angeles Lakers,96,Oklahoma City Thunder,113
Sun Oct 30 2016,Dallas Mavericks,92,Houston Rockets,93
Sun Oct 30 2016,Washington Wizards,103,Memphis Grizzlies,112
Mon Oct 31 2016,Sacramento Kings,95,Atlanta Hawks,106
Mon Oct 31 2016,Chicago Bulls,118,Brooklyn Nets,88
Mon Oct 31 2016,Denver Nuggets,102,Toronto Raptors,105
Mon Oct 31 2016,Phoenix Suns,98,Los Angeles Clippers,116
Tue Nov 1 2016,Houston Rockets,120,Cleveland Cavaliers,128
Tue Nov 1 2016,Los Angeles Lakers,108,Indiana Pacers,115
Tue Nov 1 2016,Orlando Magic,103,Philadelphia 76ers,101
Tue Nov 1 2016,New York Knicks,89,Detroit Pistons,102
Tue Nov 1 2016,Sacramento Kings,96,Miami Heat,108
Tue Nov 1 2016,Memphis Grizzlies,80,Minnesota Timberwolves,116
Tue Nov 1 2016,Milwaukee Bucks,117,New Orleans Pelicans,113
Tue Nov 1 2016,Utah Jazz,106,San Antonio Spurs,91
Tue Nov 1 2016,Golden State Warriors,127,Portland Trail Blazers,104
Wed Nov 2 2016,Philadelphia 76ers,93,Charlotte Hornets,109
Wed Nov 2 2016,Toronto Raptors,113,Washington Wizards,103
Wed Nov 2 2016,Los Angeles Lakers,123,Atlanta Hawks,116
Wed Nov 2 2016,Detroit Pistons,101,Brooklyn Nets,109
Wed Nov 2 2016,Houston Rockets,118,New York Knicks,99
Wed Nov 2 2016,Chicago Bulls,100,Boston Celtics,107
Wed Nov 2 2016,New Orleans Pelicans,83,Memphis Grizzlies,89
Wed Nov 2 2016,Dallas Mavericks,81,Utah Jazz,97
Wed Nov 2 2016,Portland Trail Blazers,115,Phoenix Suns,118
Wed Nov 2 2016,Oklahoma City Thunder,85,Los Angeles Clippers,83
Thu Nov 3 2016,Sacramento Kings,94,Orlando Magic,102
Thu Nov 3 2016,Boston Celtics,122,Cleveland Cavaliers,128
Thu Nov 3 2016,Indiana Pacers,107,Milwaukee Bucks,125
Thu Nov 3 2016,Denver Nuggets,102,Minnesota Timberwolves,99
Thu Nov 3 2016,Oklahoma City Thunder,96,Golden State Warriors,122
Fri Nov 4 2016,Atlanta Hawks,92,Washington Wizards,95
Fri Nov 4 2016,Charlotte Hornets,99,Brooklyn Nets,95
Fri Nov 4 2016,Miami Heat,87,Toronto Raptors,96
Fri Nov 4 2016,New York Knicks,117,Chicago Bulls,104
Fri Nov 4 2016,Los Angeles Clippers,99,Memphis Grizzlies,88
Fri Nov 4 2016,Phoenix Suns,112,New Orleans Pelicans,111
Fri Nov 4 2016,Portland Trail Blazers,105,Dallas Mavericks,95
Fri Nov 4 2016,San Antonio Spurs,100,Utah Jazz,86
Fri Nov 4 2016,Golden State Warriors,97,Los Angeles Lakers,117
Sat Nov 5 2016,Minnesota Timberwolves,92,Oklahoma City Thunder,112
Sat Nov 5 2016,Denver Nuggets,86,Detroit Pistons,103
Sat Nov 5 2016,Chicago Bulls,94,Indiana Pacers,111
Sat Nov 5 2016,Washington Wizards,86,Orlando Magic,88
Sat Nov 5 2016,Cleveland Cavaliers,102,Philadelphia 76ers,101
Sat Nov 5 2016,Houston Rockets,97,Atlanta Hawks,112
Sat Nov 5 2016,Sacramento Kings,91,Milwaukee Bucks,117
Sat Nov 5 2016,Los Angeles Clippers,116,San Antonio Spurs,92
Sun Nov 6 2016,Utah Jazz,114,New York Knicks,109
Sun Nov 6 2016,Portland Trail Blazers,100,Memphis Grizzlies,94
Sun Nov 6 2016,Sacramento Kings,96,Toronto Raptors,91
Sun Nov 6 2016,Milwaukee Bucks,75,Dallas Mavericks,86
Sun Nov 6 2016,Denver Nuggets,123,Boston Celtics,107
Sun Nov 6 2016,Phoenix Suns,108,Los Angeles Lakers,119
Mon Nov 7 2016,Indiana Pacers,100,Charlotte Hornets,122
Mon Nov 7 2016,Utah Jazz,109,Philadelphia 76ers,84
Mon Nov 7 2016,Houston Rockets,114,Washington Wizards,106
Mon Nov 7 2016,Orlando Magic,80,Chicago Bulls,112
Mon Nov 7 2016,Miami Heat,85,Oklahoma City Thunder,97
Mon Nov 7 2016,New Orleans Pelicans,106,Golden State Warriors,116
Mon Nov 7 2016,Detroit Pistons,82,Los Angeles Clippers,114
Tue Nov 8 2016,Atlanta Hawks,110,Cleveland Cavaliers,106
Tue Nov 8 2016,Minnesota Timberwolves,110,Brooklyn Nets,119
Tue Nov 8 2016,Denver Nuggets,107,Memphis Grizzlies,108
Tue Nov 8 2016,Phoenix Suns,121,Portland Trail Blazers,124
Tue Nov 8 2016,Dallas Mavericks,109,Los Angeles Lakers,97
Tue Nov 8 2016,New Orleans Pelicans,94,Sacramento Kings,102
Wed Nov 9 2016,Utah Jazz,98,Charlotte Hornets,104
Wed Nov 9 2016,Philadelphia 76ers,115,Indiana Pacers,122
Wed Nov 9 2016,Brooklyn Nets,96,New York Knicks,110
Wed Nov 9 2016,Minnesota Timberwolves,123,Orlando Magic,107
Wed Nov 9 2016,Boston Celtics,93,Washington Wizards,118
Wed Nov 9 2016,Chicago Bulls,107,Atlanta Hawks,115
Wed Nov 9 2016,Toronto Raptors,112,Oklahoma City Thunder,102
Wed Nov 9 2016,Detroit Pistons,100,Phoenix Suns,107
Wed Nov 9 2016,Houston Rockets,101,San Antonio Spurs,99
Wed Nov 9 2016,Dallas Mavericks,95,Golden State Warriors,116
Wed Nov 9 2016,Portland Trail Blazers,80,Los Angeles Clippers,111
Thu Nov 10 2016,Chicago Bulls,98,Miami Heat,95
Thu Nov 10 2016,New Orleans Pelicans,112,Milwaukee Bucks,106
Thu Nov 10 2016,Golden State Warriors,125,Denver Nuggets,101
Thu Nov 10 2016,Los Angeles Lakers,101,Sacramento Kings,91
Fri Nov 11 2016,Toronto Raptors,113,Charlotte Hornets,111
Fri Nov 11 2016,Utah Jazz,87,Orlando Magic,74
Fri Nov 11 2016,Indiana Pacers,105,Philadelphia 76ers,109
Fri Nov 11 2016,Cleveland Cavaliers,105,Washington Wizards,94
Fri Nov 11 2016,New York Knicks,87,Boston Celtics,115
Fri Nov 11 2016,Los Angeles Clippers,110,Oklahoma City Thunder,108
Fri Nov 11 2016,Detroit Pistons,86,San Antonio Spurs,96
Fri Nov 11 2016,Sacramento Kings,120,Portland Trail Blazers,122
Sat Nov 12 2016,Boston Celtics,105,Indiana Pacers,99
