Philadelphia 76ers,117,Boston Celtics,126
Los Angeles Lakers,109,Golden State Warriors,123
Orlando Magic,109,Detroit Pistons,113
Washington Wizards,114,Indiana Pacers,107
Houston Rockets,107,Atlanta Hawks,117
New Orleans Pelicans,130,Brooklyn Nets,108
New York Knicks,112,Memphis Grizzlies,115
Chicago Bulls,116,Miami Heat,108
Cleveland Cavaliers,105,Toronto Raptors,108
Oklahoma City Thunder,108,Minnesota Timberwolves,115
Charlotte Hornets,129,San Antonio Spurs,102
Denver Nuggets,102,Utah Jazz,123
Dallas Mavericks,105,Phoenix Suns,107
Portland Trail Blazers,115,Sacramento Kings,108
Milwaukee Bucks,90,Philadelphia 76ers,88
Los Angeles Clippers,103,Los Angeles Lakers,97
New Orleans Pelicans,124,Charlotte Hornets,112
San Antonio Spurs,137,Indiana Pacers,134
Chicago Bulls,100,Washington Wizards,102
Orlando Magic,98,Atlanta Hawks,108
Toronto Raptors,105,Brooklyn Nets,109
Boston Celtics,111,Miami Heat,104
Detroit Pistons,106,New York Knicks,130
Memphis Grizzlies,129,Houston Rockets,122
Utah Jazz,132,Minnesota Timberwolves,126
Denver Nuggets,128,Golden State Warriors,123
Phoenix Suns,111,Portland Trail Blazers,113
San Antonio Spurs,114,Philadelphia 76ers,105
Detroit Pistons,115,Indiana Pacers,124
Boston Celtics,126,Orlando Magic,120
Cleveland Cavaliers,128,Chicago Bulls,96
Toronto Raptors,109,Miami Heat,112
Houston Rockets,105,Milwaukee Bucks,125
Memphis Grizzlies,96,Dallas Mavericks,137
Oklahoma City Thunder,117,Denver Nuggets,122
Los Angeles Clippers,111,Sacramento Kings,109
Portland Trail Blazers,106,Los Angeles Lakers,104
Charlotte Hornets,126,Atlanta Hawks,109
Washington Wizards,107,Cleveland Cavaliers,117
Utah Jazz,122,New Orleans Pelicans,121
Minnesota Timberwolves,116,Oklahoma City Thunder,106
Sacramento Kings,125,Golden State Warriors,130
Phoenix Suns,112,Los Angeles Clippers,95
Indiana Pacers,106,Philadelphia 76ers,120
Toronto Raptors,98,Miami Heat,90
Orlando Magic,102,New York Knicks,115
Boston Celtics,102,Chicago Bulls,120
Utah Jazz,108,Houston Rockets,114
Brooklyn Nets,124,Memphis Grizzlies,134
San Antonio Spurs,115,Minnesota Timberwolves,106
Denver Nuggets,110,Portland Trail Blazers,135
Detroit Pistons,99,Washington Wizards,120
Dallas Mavericks,111,New Orleans Pelicans,113
Los Angeles Clippers,94,Oklahoma City Thunder,108
Golden State Warriors,105,Phoenix Suns,134
Orlando Magic,92,Cleveland Cavaliers,103
Atlanta Hawks,118,Detroit Pistons,113
Brooklyn Nets,99,Milwaukee Bucks,110
Charlotte Hornets,131,New York Knicks,134
Philadelphia 76ers,109,Toronto Raptors,119
Indiana Pacers,109,Chicago Bulls,124
San Antonio Spurs,122,Minnesota Timberwolves,134
Houston Rockets,101,Utah Jazz,109
Los Angeles Lakers,99,Denver Nuggets,110
Miami Heat,119,Portland Trail Blazers,98
Dallas Mavericks,129,Brooklyn Nets,125
Los Angeles Clippers,110,Oklahoma City Thunder,118
Miami Heat,110,Golden State Warriors,123
Memphis Grizzlies,125,Sacramento Kings,110
Atlanta Hawks,136,Detroit Pistons,112
Charlotte Hornets,93,Orlando Magic,113
Cleveland Cavaliers,132,Boston Celtics,123
Philadelphia 76ers,112,Toronto Raptors,90
Indiana Pacers,127,Washington Wizards,117
New York Knicks,108,Milwaukee Bucks,119
Los Angeles Lakers,102,Minnesota Timberwolves,111
Chicago Bulls,124,San Antonio Spurs,129
Utah Jazz,101,Denver Nuggets,117
New Orleans Pelicans,111,Phoenix Suns,124
Houston Rockets,111,Portland Trail Blazers,125
Miami Heat,113,Sacramento Kings,119
Golden State Warriors,113,Charlotte Hornets,120
Indiana Pacers,125,Brooklyn Nets,116
Philadelphia 76ers,114,Chicago Bulls,109
Atlanta Hawks,115,Milwaukee Bucks,123
Oklahoma City Thunder,117,Dallas Mavericks,111
Memphis Grizzlies,123,Utah Jazz,124
New Orleans Pelicans,112,Los Angeles Clippers,91
Washington Wizards,94,Boston Celtics,112
New York Knicks,108,Cleveland Cavaliers,121
Golden State Warriors,114,Detroit Pistons,128
Minnesota Timberwolves,98,San Antonio Spurs,107
Orlando Magic,105,Dallas Mavericks,114
Houston Rockets,109,Phoenix Suns,124
Denver Nuggets,110,Los Angeles Lakers,121
Sacramento Kings,115,Charlotte Hornets,108
Philadelphia 76ers,118,Washington Wizards,111
Indiana Pacers,109,Brooklyn Nets,116
Atlanta Hawks,109,Toronto Raptors,139
Detroit Pistons,108,Milwaukee Bucks,110
Memphis Grizzlies,105,Utah Jazz,121
Houston Rockets,93,Los Angeles Clippers,95
Chicago Bulls,108,Brooklyn Nets,99
Golden State Warriors,109,Miami Heat,116
Orlando Magic,108,Oklahoma City Thunder,116
Minnesota Timberwolves,107,Phoenix Suns,116
Washington Wizards,121,Philadelphia 76ers,111
Boston Celtics,113,Cleveland Cavaliers,114
Sacramento Kings,107,Miami Heat,110
Atlanta Hawks,112,New York Knicks,99
Charlotte Hornets,88,Chicago Bulls,106
Los Angeles Clippers,109,Houston Rockets,101
