Tue Oct 19 2021,Brooklyn Nets,104,Milwaukee Bucks,127
Tue Oct 19 2021,Golden State Warriors,121,Los Angeles Lakers,114
Wed Oct 20 2021,Indiana Pacers,122,Charlotte Hornets,123
Wed Oct 20 2021,Chicago Bulls,94,Detroit Pistons,88
Wed Oct 20 2021,Boston Celtics,134,New York Knicks,138
Wed Oct 20 2021,Washington Wizards,98,Toronto Raptors,83
Wed Oct 20 2021,Cleveland Cavaliers,121,Memphis Grizzlies,132
Wed Oct 20 2021,Houston Rockets,106,Minnesota Timberwolves,124
Wed Oct 20 2021,Philadelphia 76ers,117,New Orleans Pelicans,97
Wed Oct 20 2021,Orlando Magic,97,San Antonio Spurs,123
Wed Oct 20 2021,Oklahoma City Thunder,86,Utah Jazz,107
Wed Oct 20 2021,Sacramento Kings,124,Portland Trail Blazers,121
Wed Oct 20 2021,Denver Nuggets,110,Phoenix Suns,98
Thu Oct 21 2021,Dallas Mavericks,87,Atlanta Hawks,113
Thu Oct 21 2021,Milwaukee Bucks,95,Miami Heat,137
Thu Oct 21 2021,Los Angeles Clippers,113,Golden State Warriors,115
Fri Oct 22 2021,New York Knicks,121,Orlando Magic,96
Fri Oct 22 2021,Indiana Pacers,134,Washington Wizards,135
Fri Oct 22 2021,Charlotte Hornets,123,Cleveland Cavaliers,112
Fri Oct 22 2021,Toronto Raptors,115,Boston Celtics,83
Fri Oct 22 2021,Brooklyn Nets,114,Philadelphia 76ers,109
Fri Oct 22 2021,Oklahoma City Thunder,91,Houston Rockets,124
Fri Oct 22 2021,New Orleans Pelicans,112,Chicago Bulls,128
Fri Oct 22 2021,San Antonio Spurs,96,Denver Nuggets,102
Fri Oct 22 2021,Phoenix Suns,115,Los Angeles Lakers,105
Fri Oct 22 2021,Utah Jazz,110,Sacramento Kings,101
Sat Oct 23 2021,Atlanta Hawks,95,Cleveland Cavaliers,101
Sat Oct 23 2021,Miami Heat,91,Indiana Pacers,102
Sat Oct 23 2021,Dallas Mavericks,103,Toronto Raptors,95
Sat Oct 23 2021,Detroit Pistons,82,Chicago Bulls,97
Sat Oct 23 2021,New Orleans Pelicans,89,Minnesota Timberwolves,96
Sat Oct 23 2021,Milwaukee Bucks,121,San Antonio Spurs,111
Sat Oct 23 2021,Phoenix Suns,105,Portland Trail Blazers,134
Sat Oct 23 2021,Memphis Grizzlies,120,Los Angeles Clippers,114
Sun Oct 24 2021,Charlotte Hornets,111,Brooklyn Nets,95
Sun Oct 24 2021,Boston Celtics,107,Houston Rockets,97
Sun Oct 24 2021,Orlando Magic,110,New York Knicks,104
Sun Oct 24 2021,Philadelphia 76ers,115,Oklahoma City Thunder,103
Sun Oct 24 2021,Golden State Warriors,119,Sacramento Kings,107
Sun Oct 24 2021,Memphis Grizzlies,118,Los Angeles Lakers,121
Mon Oct 25 2021,Boston Celtics,140,Charlotte Hornets,129
Mon Oct 25 2021,Milwaukee Bucks,119,Indiana Pacers,109
Mon Oct 25 2021,Chicago Bulls,111,Toronto Raptors,108
Mon Oct 25 2021,Orlando Magic,90,Miami Heat,107
Mon Oct 25 2021,Washington Wizards,90,Brooklyn Nets,104
Mon Oct 25 2021,Detroit Pistons,104,Atlanta Hawks,122
Mon Oct 25 2021,New Orleans Pelicans,107,Minnesota Timberwolves,98
Mon Oct 25 2021,Cleveland Cavaliers,99,Denver Nuggets,87
Mon Oct 25 2021,Portland Trail Blazers,86,Los Angeles Clippers,116
Tue Oct 26 2021,Philadelphia 76ers,99,New York Knicks,112
Tue Oct 26 2021,Golden State Warriors,106,Oklahoma City Thunder,98
Tue Oct 26 2021,Los Angeles Lakers,125,San Antonio Spurs,121
Tue Oct 26 2021,Houston Rockets,106,Dallas Mavericks,116
