date,away_team,away_pt,home_team,home_pt,home_spread,home_total,home_ml,away_spread,away_total,away_ml
Tue Oct 18 2022,Philadelphia 76ers,117,Boston Celtics,126,-3 (-108),o216.5 (-110),-144,+3 (-112),u216.5 (-110),+122
Tue Oct 18 2022,Los Angeles Lakers,109,Golden State Warriors,123,-7.5 (-108),o224 (-110),-300,+7.5 (-112),u224 (-110),+245
Wed Oct 19 2022,Orlando Magic,109,Detroit Pistons,113,-3.5 (-114),o215 (-110),-164,+3.5 (-106),u215 (-110),+138
Wed Oct 19 2022,Washington Wizards,114,Indiana Pacers,107,+2.5 (-106),o229 (-110),+120,-2.5 (-114),u229 (-110),-142
Wed Oct 19 2022,Houston Rockets,1  07,Atlanta Hawks,117,-10.5 (-110),o235.5 (-110),-520,+10.5 (-110),u235.5 (-110),+400
Wed Oct 19 2022,New Orleans Pelicans,130,Brooklyn Nets,108,-3 (-110),o232 (-110),-148,+3 (-110),u232 (-110),+126
Wed Oct 19 2022,New York Knicks,112,Memphis Grizzlies,115,-4.5 (-112),o226.5 (-110),-190,+4.5 (-108),u226.5 (-110),+160
Wed Oct 19 2022,Chicago Bulls,116,Miami Heat,108,-7.5 (-110),o216 (-110),-310,+7.5 (-110),u216 (-110),+250
Wed Oct 19 2022,Cleveland Cavaliers,105,Toronto Raptors,108,-3 (-106),o216.5 (-110),-144,+3 (-114),u216.5 (-110),+122
Wed Oct 19 2022,Oklahoma City Thunder,108,Minnesota Timberwolves,115,-11 (-114),o227 (-110),-700,+11 (-106),u227 (-110),+500
Wed Oct 19 2022,Charlotte Hornets,129,San Antonio Spurs,102,+1 (-110),o221 (-110),-104,-1 (-110),u221 (-110),-116
Wed Oct 19 2022,Denver Nuggets,102,Utah Jazz,123,+7 (-112),o225.5 (-110),+225,-7 (-108),u225.5 (-110),-275
Wed Oct 19 2022,Dallas Mavericks,105,Phoenix Suns,107,-3.5 (-114),o218 (-110),-174,+3.5 (-106),u218 (-110),+146
Wed Oct 19 2022,Portland Trail Blazers,115,Sacramento Kings,108,-3.5 (-110),o229.5 (-110),-166,+3.5 (-110),u229.5 (-110),+140
Thu Oct 20 2022,Milwaukee Bucks,90,Philadelphia 76ers,88,-4 (-110),o225 (-108),-174,+4 (-110),u225 (-112),+146
Thu Oct 20 2022,Los Angeles Clippers,103,Los Angeles Lakers,97,+5 (-110),o226.5 (-110),+160,-5 (-110),u226.5 (-110),-190
Fri Oct 21 2022,New Orleans Pelicans,124,Charlotte Hornets,112,+7 (-112),o226.5 (-110),+220,-7 (-108),u226.5 (-110),-270
Fri Oct 21 2022,San Antonio Spurs,137,Indiana Pacers,134,-1.5 (-110),o232.5 (-110),-118,+1.5 (-110),u232.5 (-110),even
Fri Oct 21 2022,Chicago Bulls,100,Washington Wizards,102,-1.5 (-110),o220 (-110),-126,+1.5 (-110),u220 (-110),+108
Fri Oct 21 2022,Orlando Magic,98,Atlanta Hawks,108,-9.5 (-106),o226 (-110),-430,+9.5 (-114),u226 (-110),+340
Fri Oct 21 2022,Toronto Raptors,105,Brooklyn Nets,109,-2.5 (-110),o226 (-108),-138,+2.5 (-110),u226 (-112),+118
