date,away_team,away_pt,home_team,home_pt,away_line,home_line
Tue Oct 22 2019,New Orleans Pelicans,122,Toronto Raptors,130,+237,-286
Tue Oct 22 2019,Los Angeles Lakers,102,Los Angeles Clippers,112,-169,+147
Wed Oct 23 2019,Chicago Bulls,125,Charlotte Hornets,126,-161,+140
Wed Oct 23 2019,Detroit Pistons,119,Indiana Pacers,110,+242,-292
Wed Oct 23 2019,Cleveland Cavaliers,85,Orlando Magic,94,+424,-587
Wed Oct 23 2019,Minnesota Timberwolves,127,Brooklyn Nets,126,+158,-193
Wed Oct 23 2019,Memphis Grizzlies,101,Miami Heat,120,+233,-280
Wed Oct 23 2019,Boston Celtics,93,Philadelphia 76ers,107,+242,-331
Wed Oct 23 2019,Washington Wizards,100,Dallas Mavericks,108,+413,-843
Wed Oct 23 2019,New York Knicks,111,San Antonio Spurs,120,+434,-569
Wed Oct 23 2019,Oklahoma City Thunder,95,Utah Jazz,100,+328,-413
Wed Oct 23 2019,Sacramento Kings,95,Phoenix Suns,124, , 
Wed Oct 23 2019,Denver Nuggets,108,Portland Trail Blazers,100,-122,+103
Thu Oct 24 2019,Atlanta Hawks,117,Detroit Pistons,100,+102,-119
Thu Oct 24 2019,Milwaukee Bucks,117,Houston Rockets,111,+101,-121
Thu Oct 24 2019,Los Angeles Clippers,141,Golden State Warriors,122,-154,+123
Fri Oct 25 2019,Toronto Raptors,106,Boston Celtics,112,+130,-154
Fri Oct 25 2019,Minnesota Timberwolves,121,Charlotte Hornets,99,-246,+199
Fri Oct 25 2019,New York Knicks,109,Brooklyn Nets,113,+301,-386
Fri Oct 25 2019,Chicago Bulls,110,Memphis Grizzlies,102,-126,+108
Fri Oct 25 2019,Dallas Mavericks,123,New Orleans Pelicans,116,+107,-127
Fri Oct 25 2019,Washington Wizards,97,Oklahoma City Thunder,85,+297,-369
Fri Oct 25 2019,Phoenix Suns,107,Denver Nuggets,108,+608,-858
Fri Oct 25 2019,Portland Trail Blazers,122,Sacramento Kings,112,-565,+202
Fri Oct 25 2019,Utah Jazz,86,Los Angeles Lakers,95,+213,-377
Sat Oct 26 2019,Miami Heat,131,Milwaukee Bucks,126,+523,-715
Sat Oct 26 2019,Philadelphia 76ers,117,Detroit Pistons,111,-182,+158
Sat Oct 26 2019,Orlando Magic,99,Atlanta Hawks,103,-134,+115
Sat Oct 26 2019,Boston Celtics,118,New York Knicks,95,-225,+187
Sat Oct 26 2019,Toronto Raptors,108,Chicago Bulls,84,-287,+189
Sat Oct 26 2019,Indiana Pacers,99,Cleveland Cavaliers,110,-179,+157
Sat Oct 26 2019,New Orleans Pelicans,123,Houston Rockets,126,+642,-944
Sat Oct 26 2019,Washington Wizards,122,San Antonio Spurs,124,+580,-807
Sat Oct 26 2019,Sacramento Kings,81,Utah Jazz,113,+410,-643
