date,away_team,away_pt,home_team,home_pt,away_line,home_line
Tue Oct 18 2022,Philadelphia 76ers,117,Boston Celtics,126,+136,-157
Tue Oct 18 2022,Los Angeles Lakers,109,Golden State Warriors,123,+239,-293
Wed Oct 19 2022,Orlando Magic,109,Detroit Pistons,113,+148,-171
Wed Oct 19 2022,Washington Wizards,114,Indiana Pacers,107,-137,+117
Wed Oct 19 2022,Houston Rockets,107,Atlanta Hawks,117,+394,-535
Wed Oct 19 2022,New Orleans Pelicans,130,Brooklyn Nets,108,+136,-157
Wed Oct 19 2022,New York Knicks,112,Memphis Grizzlies,115,+183,-218
Wed Oct 19 2022,Chicago Bulls,116,Miami Heat,108,+240,-295
Wed Oct 19 2022,Cleveland Cavaliers,105,Toronto Raptors,108,+123,-143
Wed Oct 19 2022,Oklahoma City Thunder,108,Minnesota Timberwolves,115,+433,-618
Wed Oct 19 2022,Charlotte Hornets,129,San Antonio Spurs,102,-114,-106
Wed Oct 19 2022,Denver Nuggets,102,Utah Jazz,123,-277,+225
Wed Oct 19 2022,Dallas Mavericks,105,Phoenix Suns,107,+160,-186
Wed Oct 19 2022,Portland Trail Blazers,115,Sacramento Kings,108,+135,-158
Thu Oct 20 2022,Milwaukee Bucks,90,Philadelphia 76ers,88,+151,-176
Thu Oct 20 2022,Los Angeles Clippers,103,Los Angeles Lakers,97,-193,+164
Fri Oct 21 2022,New Orleans Pelicans,124,Charlotte Hornets,112,-274,+226
Fri Oct 21 2022,San Antonio Spurs,137,Indiana Pacers,134,+104,-124
Fri Oct 21 2022,Chicago Bulls,100,Washington Wizards,102,+109,-129
Fri Oct 21 2022,Orlando Magic,98,Atlanta Hawks,108,+316,-410
Fri Oct 21 2022,Toronto Raptors,105,Brooklyn Nets,109,+125,-145
Fri Oct 21 2022,Boston Celtics,111,Miami Heat,104,-135,+115
Fri Oct 21 2022,Detroit Pistons,106,New York Knicks,130,+236,-285
Fri Oct 21 2022,Memphis Grizzlies,129,Houston Rockets,122,-286,+238
Fri Oct 21 2022,Utah Jazz,132,Minnesota Timberwolves,126,+267,-332
Fri Oct 21 2022,Denver Nuggets,128,Golden State Warriors,123,+185,-220
Fri Oct 21 2022,Phoenix Suns,111,Portland Trail Blazers,113,-212,+177
Sat Oct 22 2022,San Antonio Spurs,114,Philadelphia 76ers,105,+647,-1052
Sat Oct 22 2022,Detroit Pistons,115,Indiana Pacers,124,-103,-117
Sat Oct 22 2022,Boston Celtics,126,Orlando Magic,120,-385,+303
Sat Oct 22 2022,Cleveland Cavaliers,128,Chicago Bulls,96,-123,+103
Sat Oct 22 2022,Toronto Raptors,109,Miami Heat,112,+140,-163
Sat Oct 22 2022,Houston Rockets,105,Milwaukee Bucks,125,+646,-1014
Sat Oct 22 2022,Memphis Grizzlies,96,Dallas Mavericks,137,+189,-225
Sat Oct 22 2022,Oklahoma City Thunder,117,Denver Nuggets,122,+320,-413
Sat Oct 22 2022,Los Angeles Clippers,111,Sacramento Kings,109,-139,+119
Sun Oct 23 2022,Portland Trail Blazers,106,Los Angeles Lakers,104,+151,-173
Sun Oct 23 2022,Charlotte Hornets,126,Atlanta Hawks,109,+368,-493
Sun Oct 23 2022,Washington Wizards,107,Cleveland Cavaliers,117,+150,-173
Sun Oct 23 2022,Utah Jazz,122,New Orleans Pelicans,121,+279,-351
Sun Oct 23 2022,Minnesota Timberwolves,116,Oklahoma City Thunder,106,-452,+343
Sun Oct 23 2022,Sacramento Kings,125,Golden State Warriors,130,+379,-514
Sun Oct 23 2022,Phoenix Suns,112,Los Angeles Clippers,95,-121,+101
Mon Oct 24 2022,Indiana Pacers,106,Philadelphia 76ers,120,+540,-817
Mon Oct 24 2022,Toronto Raptors,98,Miami Heat,90,+143,-165
Mon Oct 24 2022,Orlando Magic,102,New York Knicks,115,+248,-306
Mon Oct 24 2022,Boston Celtics,102,Chicago Bulls,120,-217,+182
Mon Oct 24 2022,Utah Jazz,108,Houston Rockets,114,-138,+118
