date,away_team,away_pt,home_team,home_pt,away_line,home_line
Tue Oct 29 2013,Orlando Magic,87,Indiana Pacers,97,+714,-1003
Tue Oct 29 2013,Chicago Bulls,95,Miami Heat,107,+181,-218
Tue Oct 29 2013,Los Angeles Clippers,103,Los Angeles Lakers,116,-572,+436
Wed Oct 30 2013,Brooklyn Nets,94,Cleveland Cavaliers,98,-155,+136
Wed Oct 30 2013,Boston Celtics,87,Toronto Raptors,93,+304,-370
Wed Oct 30 2013,Miami Heat,110,Philadelphia 76ers,114,-675,+504
Wed Oct 30 2013,Washington Wizards,102,Detroit Pistons,113,+121,-139
Wed Oct 30 2013,Milwaukee Bucks,83,New York Knicks,90,+295,-363
Wed Oct 30 2013,Indiana Pacers,95,New Orleans Pelicans,90,+101,-116
Wed Oct 30 2013,Orlando Magic,115,Minnesota Timberwolves,120,+512,-672
Wed Oct 30 2013,Charlotte Bobcats,83,Houston Rockets,96,,-1704
Wed Oct 30 2013,Memphis Grizzlies,94,San Antonio Spurs,101,+212,-250
Wed Oct 30 2013,Atlanta Hawks,109,Dallas Mavericks,118,+205,-242
Wed Oct 30 2013,Oklahoma City Thunder,101,Utah Jazz,98,-270,+230
Wed Oct 30 2013,Portland Trail Blazers,91,Phoenix Suns,104,-218,+183
Wed Oct 30 2013,Denver Nuggets,88,Sacramento Kings,90,+121,-141
Wed Oct 30 2013,Los Angeles Lakers,94,Golden State Warriors,125,+715,-1008
Thu Oct 31 2013,New York Knicks,81,Chicago Bulls,82,+281,-338
Thu Oct 31 2013,Golden State Warriors,115,Los Angeles Clippers,126,+209,-247
Fri Nov 1 2013,Cleveland Cavaliers,84,Charlotte Bobcats,90,-166,
Fri Nov 1 2013,New Orleans Pelicans,90,Orlando Magic,110,-176,+154
Fri Nov 1 2013,Philadelphia 76ers,109,Washington Wizards,102,+401,-512
Fri Nov 1 2013,Toronto Raptors,95,Atlanta Hawks,102,+140,-160
Fri Nov 1 2013,Milwaukee Bucks,105,Boston Celtics,98,+117,-137
Fri Nov 1 2013,Miami Heat,100,Brooklyn Nets,101,-176,+154
