date,away_team,away_pt,home_team,home_pt,away_line,home_line
Tue Oct 19 2021,Brooklyn Nets,104,Milwaukee Bucks,127,+103,-120
Tue Oct 19 2021,Golden State Warriors,121,Los Angeles Lakers,114,+138,-158
Wed Oct 20 2021,Indiana Pacers,122,Charlotte Hornets,123,-122,+106
Wed Oct 20 2021,Chicago Bulls,94,Detroit Pistons,88,-216,+184
Wed Oct 20 2021,Boston Celtics,134,New York Knicks,138,+123,-139
Wed Oct 20 2021,Washington Wizards,98,Toronto Raptors,83,+121,-138
Wed Oct 20 2021,Cleveland Cavaliers,121,Memphis Grizzlies,132,+239,-281
Wed Oct 20 2021,Houston Rockets,106,Minnesota Timberwolves,124,+206,-242
Wed Oct 20 2021,Philadelphia 76ers,117,New Orleans Pelicans,97,-169,+150
Wed Oct 20 2021,Orlando Magic,97,San Antonio Spurs,123,+228,-268
Wed Oct 20 2021,Oklahoma City Thunder,86,Utah Jazz,107,+796,-1114
Wed Oct 20 2021,Sacramento Kings,124,Portland Trail Blazers,121,+219,-258
Wed Oct 20 2021,Denver Nuggets,110,Phoenix Suns,98,+208,-245
Thu Oct 21 2021,Dallas Mavericks,87,Atlanta Hawks,113,+118,-134
Thu Oct 21 2021,Milwaukee Bucks,95,Miami Heat,137,+124,-142
Thu Oct 21 2021,Los Angeles Clippers,113,Golden State Warriors,115,+151,-170
Fri Oct 22 2021,New York Knicks,121,Orlando Magic,96,-336,+278
Fri Oct 22 2021,Indiana Pacers,134,Washington Wizards,135,-129,+111
Fri Oct 22 2021,Charlotte Hornets,123,Cleveland Cavaliers,112,-133,+117
Fri Oct 22 2021,Toronto Raptors,115,Boston Celtics,83,+244,-292
Fri Oct 22 2021,Brooklyn Nets,114,Philadelphia 76ers,109,-124,+108
Fri Oct 22 2021,Oklahoma City Thunder,91,Houston Rockets,124,+125,-143
Fri Oct 22 2021,New Orleans Pelicans,112,Chicago Bulls,128,+228,-268
Fri Oct 22 2021,San Antonio Spurs,96,Denver Nuggets,102,+255,-305
Fri Oct 22 2021,Phoenix Suns,115,Los Angeles Lakers,105,+109,-124
Fri Oct 22 2021,Utah Jazz,110,Sacramento Kings,101,-247,+210
Sat Oct 23 2021,Atlanta Hawks,95,Cleveland Cavaliers,101,-371,+302
Sat Oct 23 2021,Miami Heat,91,Indiana Pacers,102,-165,+143
Sat Oct 23 2021,Dallas Mavericks,103,Toronto Raptors,95,-188,+166
Sat Oct 23 2021,Detroit Pistons,82,Chicago Bulls,97,+292,-360
Sat Oct 23 2021,New Orleans Pelicans,89,Minnesota Timberwolves,96,+253,-296
Sat Oct 23 2021,Milwaukee Bucks,121,San Antonio Spurs,111,-242,+208
Sat Oct 23 2021,Phoenix Suns,105,Portland Trail Blazers,134,+130,-147
Sat Oct 23 2021,Memphis Grizzlies,120,Los Angeles Clippers,114,+150,-169
Sun Oct 24 2021,Charlotte Hornets,111,Brooklyn Nets,95,+334,-413
Sun Oct 24 2021,Boston Celtics,107,Houston Rockets,97,-209,+180
Sun Oct 24 2021,Orlando Magic,110,New York Knicks,104,+575,-783
Sun Oct 24 2021,Philadelphia 76ers,115,Oklahoma City Thunder,103,-461,+368
Sun Oct 24 2021,Golden State Warriors,119,Sacramento Kings,107,-153,+135
Sun Oct 24 2021,Memphis Grizzlies,118,Los Angeles Lakers,121,+181,-211
Mon Oct 25 2021,Boston Celtics,140,Charlotte Hornets,129,-127,+110
Mon Oct 25 2021,Milwaukee Bucks,119,Indiana Pacers,109,-122,+105
Mon Oct 25 2021,Chicago Bulls,111,Toronto Raptors,108,-130,+113
Mon Oct 25 2021,Orlando Magic,90,Miami Heat,107,+712,-988
Mon Oct 25 2021,Washington Wizards,90,Brooklyn Nets,104,+203,-239
Mon Oct 25 2021,Detroit Pistons,104,Atlanta Hawks,122,+511,-680
Mon Oct 25 2021,New Orleans Pelicans,107,Minnesota Timberwolves,98,+187,-219
Mon Oct 25 2021,Cleveland Cavaliers,99,Denver Nuggets,87,+401,-515
Mon Oct 25 2021,Portland Trail Blazers,86,Los Angeles Clippers,116,+118,-134
Tue Oct 26 2021,Philadelphia 76ers,99,New York Knicks,112,+110,-126
Tue Oct 26 2021,Golden State Warriors,106,Oklahoma City Thunder,98,-564,+436
Tue Oct 26 2021,Los Angeles Lakers,125,San Antonio Spurs,121,+111,-128
Tue Oct 26 2021,Houston Rockets,106,Dallas Mavericks,116,+474,-626
Tue Oct 26 2021,Denver Nuggets,110,Utah Jazz,122,+264,-314
Wed Oct 27 2021,Charlotte Hornets,120,Orlando Magic,111,-223,+189
Wed Oct 27 2021,Washington Wizards,116,Boston Celtics,107,+157,-179
Wed Oct 27 2021,Miami Heat,106,Brooklyn Nets,93,+138,-156
Wed Oct 27 2021,Indiana Pacers,100,Toronto Raptors,118,-101,-117
Wed Oct 27 2021,Atlanta Hawks,102,New Orleans Pelicans,99,-215,+180
Wed Oct 27 2021,Minnesota Timberwolves,113,Milwaukee Bucks,108,+199,-237
Wed Oct 27 2021,Los Angeles Lakers,115,Oklahoma City Thunder,123,-237,+201
Wed Oct 27 2021,Sacramento Kings,110,Phoenix Suns,107,+289,-353
Wed Oct 27 2021,Memphis Grizzlies,96,Portland Trail Blazers,116,+116,-134
Wed Oct 27 2021,Cleveland Cavaliers,92,Los Angeles Clippers,79,+294,-359
Thu Oct 28 2021,Atlanta Hawks,111,Washington Wizards,122,-177,+156
Thu Oct 28 2021,Detroit Pistons,102,Philadelphia 76ers,110,+439,-589
Thu Oct 28 2021,Utah Jazz,122,Houston Rockets,91,-449,+352
Thu Oct 28 2021,New York Knicks,104,Chicago Bulls,103,+104,-121
Thu Oct 28 2021,San Antonio Spurs,99,Dallas Mavericks,104,+220,-262
Thu Oct 28 2021,Memphis Grizzlies,104,Golden State Warriors,101,+201,-238
Fri Oct 29 2021,Orlando Magic,109,Toronto Raptors,110,+326,-401
Fri Oct 29 2021,Charlotte Hornets,99,Miami Heat,114,+233,-273
Fri Oct 29 2021,Indiana Pacers,98,Brooklyn Nets,105,+323,-398
Fri Oct 29 2021,Sacramento Kings,113,New Orleans Pelicans,109,-124,+107
Fri Oct 29 2021,Dallas Mavericks,75,Denver Nuggets,106,+146,-168
Fri Oct 29 2021,Los Angeles Clippers,92,Portland Trail Blazers,111,+140,-159
Fri Oct 29 2021,Cleveland Cavaliers,101,Los Angeles Lakers,113,+281,-338
Sat Oct 30 2021,Boston Celtics,112,Washington Wizards,115,+110,-127
Sat Oct 30 2021,Orlando Magic,103,Detroit Pistons,110,+198,-234
Sat Oct 30 2021,New York Knicks,123,New Orleans Pelicans,117,-349,+288
Sat Oct 30 2021,Toronto Raptors,97,Indiana Pacers,94,+128,-144
Sat Oct 30 2021,Atlanta Hawks,94,Philadelphia 76ers,122,+140,-160
Sat Oct 30 2021,Utah Jazz,99,Chicago Bulls,107,-158,+138
Sat Oct 30 2021,Miami Heat,129,Memphis Grizzlies,103,+138,-158
Sat Oct 30 2021,San Antonio Spurs,102,Milwaukee Bucks,93,+237,-282
Sat Oct 30 2021,Oklahoma City Thunder,82,Golden State Warriors,103,+610,-840
Sat Oct 30 2021,Denver Nuggets,93,Minnesota Timberwolves,91,+104,-121
Sat Oct 30 2021,Cleveland Cavaliers,92,Phoenix Suns,101,+377,-485
Sun Oct 31 2021,Sacramento Kings,99,Dallas Mavericks,105,+159,-181
Sun Oct 31 2021,Portland Trail Blazers,113,Charlotte Hornets,125,-130,+113
Sun Oct 31 2021,Utah Jazz,107,Milwaukee Bucks,95,-192,+167
Sun Oct 31 2021,Detroit Pistons,91,Brooklyn Nets,117,+578,-804
Sun Oct 31 2021,Houston Rockets,85,Los Angeles Lakers,95,+444,-584
Mon Nov 1 2021,Cleveland Cavaliers,113,Charlotte Hornets,110,+177,-203
Mon Nov 1 2021,San Antonio Spurs,118,Indiana Pacers,131,+124,-141
Mon Nov 1 2021,Portland Trail Blazers,103,Philadelphia 76ers,113,-132,+116
Mon Nov 1 2021,Washington Wizards,111,Atlanta Hawks,118,+184,-216
Mon Nov 1 2021,Chicago Bulls,128,Boston Celtics,114,+124,-141
Mon Nov 1 2021,Toronto Raptors,113,New York Knicks,104,+247,-302
Mon Nov 1 2021,Denver Nuggets,97,Memphis Grizzlies,106,+111,-128
Mon Nov 1 2021,Orlando Magic,115,Minnesota Timberwolves,97,+320,-393
Mon Nov 1 2021,Oklahoma City Thunder,94,Los Angeles Clippers,99,+596,-826
Tue Nov 2 2021,Milwaukee Bucks,117,Detroit Pistons,89,-177,+156
Tue Nov 2 2021,Miami Heat,125,Dallas Mavericks,110,-141,+124
Tue Nov 2 2021,Sacramento Kings,113,Utah Jazz,119,+329,-408
Tue Nov 2 2021,New Orleans Pelicans,100,Phoenix Suns,112,+397,-513
Tue Nov 2 2021,Houston Rockets,117,Los Angeles Lakers,119,+468,-613
Wed Nov 3 2021,Portland Trail Blazers,104,Cleveland Cavaliers,107,-213,+183
Wed Nov 3 2021,New York Knicks,98,Indiana Pacers,111,-107,-110
Wed Nov 3 2021,Boston Celtics,92,Orlando Magic,79,-286,+243
Wed Nov 3 2021,Chicago Bulls,98,Philadelphia 76ers,103,+114,-130
Wed Nov 3 2021,Toronto Raptors,109,Washington Wizards,100,+141,-160
Wed Nov 3 2021,Atlanta Hawks,108,Brooklyn Nets,117,+162,-184
Wed Nov 3 2021,Denver Nuggets,106,Memphis Grizzlies,108,-119,+103
Wed Nov 3 2021,Los Angeles Clippers,126,Minnesota Timberwolves,115,-137,+121
Wed Nov 3 2021,Dallas Mavericks,109,San Antonio Spurs,108,-132,+115
Wed Nov 3 2021,Charlotte Hornets,92,Golden State Warriors,114,+202,-238
Wed Nov 3 2021,New Orleans Pelicans,99,Sacramento Kings,112,+191,-222
Thu Nov 4 2021,Philadelphia 76ers,109,Detroit Pistons,98,-191,+167
Thu Nov 4 2021,Utah Jazz,116,Atlanta Hawks,98,-123,+106
Thu Nov 4 2021,Boston Celtics,95,Miami Heat,78,+222,-262
Thu Nov 4 2021,Houston Rockets,111,Phoenix Suns,123,+505,-673
Thu Nov 4 2021,Oklahoma City Thunder,107,Los Angeles Lakers,104,+453,-584
Fri Nov 5 2021,Brooklyn Nets,96,Detroit Pistons,90,-484,+381
Fri Nov 5 2021,San Antonio Spurs,102,Orlando Magic,89,-169,+150
Fri Nov 5 2021,Memphis Grizzlies,87,Washington Wizards,115,+119,-136
Fri Nov 5 2021,New York Knicks,113,Milwaukee Bucks,98,+138,-158
Fri Nov 5 2021,Cleveland Cavaliers,102,Toronto Raptors,101,+193,-228
Fri Nov 5 2021,Los Angeles Clippers,104,Minnesota Timberwolves,84,-137,+121
Fri Nov 5 2021,New Orleans Pelicans,85,Golden State Warriors,126,+367,-458
Fri Nov 5 2021,Indiana Pacers,106,Portland Trail Blazers,110,+185,-218
Fri Nov 5 2021,Charlotte Hornets,110,Sacramento Kings,140,+111,-128
Sat Nov 6 2021,Houston Rockets,94,Denver Nuggets,95,+467,-609
Sat Nov 6 2021,Utah Jazz,115,Miami Heat,118,-113,-104
Sat Nov 6 2021,Philadelphia 76ers,114,Chicago Bulls,105,+153,-172
Sat Nov 6 2021,Boston Celtics,104,Dallas Mavericks,107,+138,-156
Sat Nov 6 2021,Atlanta Hawks,117,Phoenix Suns,121,+138,-159
Sat Nov 6 2021,Los Angeles Lakers,90,Portland Trail Blazers,105,+175,-201
Sun Nov 7 2021,Brooklyn Nets,116,Toronto Raptors,103,-154,+136
Sun Nov 7 2021,Cleveland Cavaliers,126,New York Knicks,109,+268,-318
Sun Nov 7 2021,Utah Jazz,100,Orlando Magic,107,-650,+488
Sun Nov 7 2021,Indiana Pacers,94,Sacramento Kings,91,+118,-136
Sun Nov 7 2021,Milwaukee Bucks,94,Washington Wizards,101,-115,-102
Sun Nov 7 2021,San Antonio Spurs,94,Oklahoma City Thunder,99,-163,+144
Sun Nov 7 2021,Houston Rockets,107,Golden State Warriors,120,+648,-901
Sun Nov 7 2021,Charlotte Hornets,106,Los Angeles Clippers,120,+204,-241
Mon Nov 8 2021,New York Knicks,103,Philadelphia 76ers,96,-133,+117
Mon Nov 8 2021,Brooklyn Nets,95,Chicago Bulls,118,-113,-104
Mon Nov 8 2021,Minnesota Timberwolves,118,Memphis Grizzlies,125,+164,-187
Mon Nov 8 2021,New Orleans Pelicans,92,Dallas Mavericks,108,+335,-418
Mon Nov 8 2021,Miami Heat,96,Denver Nuggets,113,-128,+109
Mon Nov 8 2021,Atlanta Hawks,113,Golden State Warriors,127,+146,-163
Mon Nov 8 2021,Phoenix Suns,109,Sacramento Kings,104,-159,+139
Mon Nov 8 2021,Charlotte Hornets,123,Los Angeles Lakers,126,+119,-136
Tue Nov 9 2021,Milwaukee Bucks,118,Philadelphia 76ers,109,-294,+249
Tue Nov 9 2021,Atlanta Hawks,98,Utah Jazz,110,+313,-382
Tue Nov 9 2021,Portland Trail Blazers,109,Los Angeles Clippers,117,+131,-148
Wed Nov 10 2021,Washington Wizards,97,Cleveland Cavaliers,94,-160,+140
Wed Nov 10 2021,Brooklyn Nets,123,Orlando Magic,90,-472,+369
Wed Nov 10 2021,Toronto Raptors,88,Boston Celtics,104,+133,-149
Wed Nov 10 2021,Detroit Pistons,112,Houston Rockets,104,+118,-134
Wed Nov 10 2021,Milwaukee Bucks,112,New York Knicks,100,+142,-162
Wed Nov 10 2021,Dallas Mavericks,107,Chicago Bulls,117,+141,-162
Wed Nov 10 2021,Charlotte Hornets,118,Memphis Grizzlies,108,+165,-190
Wed Nov 10 2021,Oklahoma City Thunder,108,New Orleans Pelicans,100,+154,-175
Wed Nov 10 2021,Sacramento Kings,117,San Antonio Spurs,136,-101,-115
Wed Nov 10 2021,Indiana Pacers,98,Denver Nuggets,101,-154,+137
