date,away_team,away_pt,home_team,home_pt,away_line,home_line
Tue Oct 28 2014,Orlando Magic,84,New Orleans Pelicans,101,+390,-494
Tue Oct 28 2014,Dallas Mavericks,100,San Antonio Spurs,101,+140,-160
Tue Oct 28 2014,Houston Rockets,108,Los Angeles Lakers,90,-287,+243
Wed Oct 29 2014,Milwaukee Bucks,106,Charlotte Hornets,108,+319,-394
Wed Oct 29 2014,Philadelphia 76ers,91,Indiana Pacers,103,+277,-337
Wed Oct 29 2014,Atlanta Hawks,102,Toronto Raptors,109,+164,-188
Wed Oct 29 2014,Washington Wizards,95,Miami Heat,107,+173,-206
Wed Oct 29 2014,Brooklyn Nets,105,Boston Celtics,121,-107,-112
Wed Oct 29 2014,Chicago Bulls,104,New York Knicks,80,-196,+168
Wed Oct 29 2014,Minnesota Timberwolves,101,Memphis Grizzlies,105,+280,-343
Wed Oct 29 2014,Detroit Pistons,79,Denver Nuggets,89,+224,-263
Wed Oct 29 2014,Houston Rockets,104,Utah Jazz,93,-155,+135
Wed Oct 29 2014,Los Angeles Lakers,99,Phoenix Suns,119,+717,-1020
Wed Oct 29 2014,Golden State Warriors,95,Sacramento Kings,77,-200,+171
Wed Oct 29 2014,Oklahoma City Thunder,89,Portland Trail Blazers,106,+365,-456
Thu Oct 30 2014,Washington Wizards,105,Orlando Magic,98,-198,+169
Thu Oct 30 2014,New York Knicks,95,Cleveland Cavaliers,90,+865,-1305
Thu Oct 30 2014,Detroit Pistons,91,Minnesota Timberwolves,97,+186,-221
Thu Oct 30 2014,Utah Jazz,102,Dallas Mavericks,120,+503,-668
Thu Oct 30 2014,Oklahoma City Thunder,90,Los Angeles Clippers,93,+823,-1200
Fri Oct 31 2014,Memphis Grizzlies,97,Indiana Pacers,89,-256,+216
Fri Oct 31 2014,Cleveland Cavaliers,114,Chicago Bulls,108,+149,-170
Fri Oct 31 2014,Philadelphia 76ers,81,Milwaukee Bucks,93,+336,-418
Fri Oct 31 2014,San Antonio Spurs,89,Phoenix Suns,94,-116,+101
